composer,title,midi_path,metadata,metadata_composer,metadata_title,bootleg_score_path
"A., Jag",Je t'aime Juliette,"../GiantMIDI/midis/A., Jag, Je t'aime Juliette, OXC7Fd0ZN8o.mid",False,,,
"Aaron, Michael",Piano Course,"../GiantMIDI/midis/Aaron, Michael, Piano Course, V8WvKK-1b2c.mid",True,"Aaron, Michael",Piano Course,"imslp_bootleg_dir-v1.1/Aaron,_Michael/Piano_Course_"
"Abel, Frederic",Lola Polka,"../GiantMIDI/midis/Abel, Frederic, Lola Polka, SLNJF0uiqRw.mid",True,"Abel, Frederic",Lola Polka,"imslp_bootleg_dir-v1.1/Abel,_Frederic/Lola_Polka_"
"Abramowitsch, A.",3 Nocturnes,"../GiantMIDI/midis/Abramowitsch, A., 3 Nocturnes, LKK-7L2Ppw8.mid",True,"Abramowitsch, A.",3 Nocturnes,"imslp_bootleg_dir-v1.1/Abramowitsch,_A./3_Nocturnes_"
"Abreu, Zequinha",Tico-Tico no fubá,"../GiantMIDI/midis/Abreu, Zequinha, Tico-Tico no fubá, KyEuFpJuwfc.mid",False,,,
"Abt, Franz","7 Lieder aus dem Buche der Liebe, Op.39","../GiantMIDI/midis/Abt, Franz, 7 Lieder aus dem Buche der Liebe, Op.39, K33a_r6IKeA.mid",False,,,
"Achron, Joseph","2 Pieces, Op.56","../GiantMIDI/midis/Achron, Joseph, 2 Pieces, Op.56, sNqKnJNxSOE.mid",True,"Achron, Joseph",2 Pieces,"imslp_bootleg_dir-v1.1/Achron,_Joseph/2_Pieces_"
"Achron, Joseph","Symphonic Variations and Sonata, Op.39","../GiantMIDI/midis/Achron, Joseph, Symphonic Variations and Sonata, Op.39, RtRrQwO2Hng.mid",True,"Achron, Joseph",Symphonic Variations and Sonata,"imslp_bootleg_dir-v1.1/Achron,_Joseph/Symphonic_Variations_and_Sonata_"
"Ackerman, Gabriel J.","Ballade No.1, Op.5","../GiantMIDI/midis/Ackerman, Gabriel J., Ballade No.1, Op.5, KoY5XWvk5C4.mid",False,,,
"Adalid, Marcial del",24 Romances sans paroles,"../GiantMIDI/midis/Adalid, Marcial del, 24 Romances sans paroles, FazuwhlTGtM.mid",True,"Adalid, Marcial del",Romances sans paroles,"imslp_bootleg_dir-v1.1/Adalid,_Marcial_del/Romances_sans_paroles_"
"Adalid, Marcial del",Sonata for Piano Four Hands,"../GiantMIDI/midis/Adalid, Marcial del, Sonata for Piano Four Hands, 5vMRDbNa2O4.mid",False,,,
"Adalid, Marcial del",Un Recuerdo,"../GiantMIDI/midis/Adalid, Marcial del, Un Recuerdo, wjSOPn534So.mid",True,"Adalid, Marcial del",Un Recuerdo,"imslp_bootleg_dir-v1.1/Adalid,_Marcial_del/Un_Recuerdo_"
"Adams, A. Emmett",The Bells of St. Mary's,"../GiantMIDI/midis/Adams, A. Emmett, The Bells of St. Mary's, 0dujyKFQVc4.mid",False,,,
"Adams, Clifford",Hanky Pank,"../GiantMIDI/midis/Adams, Clifford, Hanky Pank, yvYoOmaNV8k.mid",True,"Adams, Clifford",Hanky Pank,"imslp_bootleg_dir-v1.1/Adams,_Clifford/Hanky_Pank_"
"Adams, Clifford",Ink Splotch Rag,"../GiantMIDI/midis/Adams, Clifford, Ink Splotch Rag, uw7mUVsWUUU.mid",True,"Adams, Clifford",Ink Splotch Rag,"imslp_bootleg_dir-v1.1/Adams,_Clifford/Ink_Splotch_Rag_"
"Adams, Ernest Harry",Afterwhiles,"../GiantMIDI/midis/Adams, Ernest Harry, Afterwhiles, bf_x_6zgwcs.mid",True,"Adams, Ernest Harry",Afterwhiles,"imslp_bootleg_dir-v1.1/Adams,_Ernest_Harry/Afterwhiles_"
"Adams, Ernest Harry",Evening Invocation,"../GiantMIDI/midis/Adams, Ernest Harry, Evening Invocation, vsq8voyBe0I.mid",True,"Adams, Ernest Harry",Evening Invocation,"imslp_bootleg_dir-v1.1/Adams,_Ernest_Harry/Evening_Invocation_"
"Adams, G. W.",The Cake Winner,"../GiantMIDI/midis/Adams, G. W., The Cake Winner, jpGN53CNZoA.mid",True,"Adams, G. W.",The Cake Winner,"imslp_bootleg_dir-v1.1/Adams,_G._W./The_Cake_Winner_"
"Adams, Mrs. Crosby","Barcarolle, Op.2","../GiantMIDI/midis/Adams, Mrs. Crosby, Barcarolle, Op.2, 4yD9RWLxKf4.mid",True,"Adams, Mrs. Crosby","Barcarolle, Op.2","imslp_bootleg_dir-v1.1/Adams,_Mrs._Crosby/Barcarolle,_Op.2_"
"Adiego Navarro, Tomás",Fidela,"../GiantMIDI/midis/Adiego Navarro, Tomás, Fidela, UB0my6R4RoA.mid",True,"Adiego Navarro, Tomás",Fidela,"imslp_bootleg_dir-v1.1/Adiego_Navarro,_Tomás/Fidela_"
"Adiego Navarro, Tomás",Fidelidad,"../GiantMIDI/midis/Adiego Navarro, Tomás, Fidelidad, UB0my6R4RoA.mid",False,,,
"Adiego Navarro, Tomás",Gitanilla,"../GiantMIDI/midis/Adiego Navarro, Tomás, Gitanilla, UB0my6R4RoA.mid",False,,,
"Adiego Navarro, Tomás",Modestia,"../GiantMIDI/midis/Adiego Navarro, Tomás, Modestia, UB0my6R4RoA.mid",True,"Adiego Navarro, Tomás",Modestia,"imslp_bootleg_dir-v1.1/Adiego_Navarro,_Tomás/Modestia_"
"Adler, Bernard",Dat Lovin' Rag,"../GiantMIDI/midis/Adler, Bernard, Dat Lovin' Rag, AAhg5-Lm4qw.mid",False,,,
"Adler, Vincent","Grande marche, Op.24","../GiantMIDI/midis/Adler, Vincent, Grande marche, Op.24, CVChKbwlaCA.mid",True,"Adler, Vincent",Grande marche,"imslp_bootleg_dir-v1.1/Adler,_Vincent/Grande_marche_"
"Adler, Vincent","2 Impromptus, Op.1","../GiantMIDI/midis/Adler, Vincent, 2 Impromptus, Op.1, dTNY0zzHNxA.mid",True,"Adler, Vincent",2 Impromptus,"imslp_bootleg_dir-v1.1/Adler,_Vincent/2_Impromptus_"
"Adler, Vincent","Valse rococo, Op.11","../GiantMIDI/midis/Adler, Vincent, Valse rococo, Op.11, eegaa_igZcg.mid",True,"Adler, Vincent",Valse rococo,"imslp_bootleg_dir-v1.1/Adler,_Vincent/Valse_rococo_"
"Ager, Milton",High Brown Blues,"../GiantMIDI/midis/Ager, Milton, High Brown Blues, sFydDlHrb7A.mid",False,,,
"Aggházy, Károly","6 Lieder, Op.30","../GiantMIDI/midis/Aggházy, Károly, 6 Lieder, Op.30, TV2LRF0cmCU.mid",False,,,
"Agnew, Roy",An Autumn Morning,"../GiantMIDI/midis/Agnew, Roy, An Autumn Morning, KBcERxrDTPs.mid",True,"Agnew, Roy",An Autumn Morning,"imslp_bootleg_dir-v1.1/Agnew,_Roy/An_Autumn_Morning_"
"Agnew, Roy",Australian Forest Pieces,"../GiantMIDI/midis/Agnew, Roy, Australian Forest Pieces, 4dRd_HTq6ok.mid",True,"Agnew, Roy",Australian Forest Pieces,"imslp_bootleg_dir-v1.1/Agnew,_Roy/Australian_Forest_Pieces_"
"Agnew, Roy",Before Dawn,"../GiantMIDI/midis/Agnew, Roy, Before Dawn, Mfz6rusKaOY.mid",True,"Agnew, Roy",Before Dawn,"imslp_bootleg_dir-v1.1/Agnew,_Roy/Before_Dawn_"
"Agnew, Roy",Contrasts,"../GiantMIDI/midis/Agnew, Roy, Contrasts, ZLksWOw5_54.mid",True,"Agnew, Roy",Contrasts,"imslp_bootleg_dir-v1.1/Agnew,_Roy/Contrasts_"
"Agnew, Roy",A Dance Impression,"../GiantMIDI/midis/Agnew, Roy, A Dance Impression, d3EMH3txKsk.mid",True,"Agnew, Roy",A Dance Impression,"imslp_bootleg_dir-v1.1/Agnew,_Roy/A_Dance_Impression_"
"Agnew, Roy",Dance of the Wild Men,"../GiantMIDI/midis/Agnew, Roy, Dance of the Wild Men, EOgmmiZ0iFE.mid",True,"Agnew, Roy",Dance of the Wild Men,"imslp_bootleg_dir-v1.1/Agnew,_Roy/Dance_of_the_Wild_Men_"
"Agnew, Roy",Drifting Mists,"../GiantMIDI/midis/Agnew, Roy, Drifting Mists, sgyDI9d-ogA.mid",True,"Agnew, Roy",Drifting Mists,"imslp_bootleg_dir-v1.1/Agnew,_Roy/Drifting_Mists_"
"Agnew, Roy",Elf Dance,"../GiantMIDI/midis/Agnew, Roy, Elf Dance, pH5JmyNzILU.mid",True,"Agnew, Roy",Elf Dance,"imslp_bootleg_dir-v1.1/Agnew,_Roy/Elf_Dance_"
"Agnew, Roy",Fantasie Sonata,"../GiantMIDI/midis/Agnew, Roy, Fantasie Sonata, L7YSslhMWQU.mid",True,"Agnew, Roy",Fantasie Sonata,"imslp_bootleg_dir-v1.1/Agnew,_Roy/Fantasie_Sonata_"
"Agnew, Roy",Green Valley,"../GiantMIDI/midis/Agnew, Roy, Green Valley, mbdWId6bwQU.mid",False,,,
"Agnew, Roy",Holiday Suite,"../GiantMIDI/midis/Agnew, Roy, Holiday Suite, p6kK1oMvvpk.mid",True,"Agnew, Roy",Holiday Suite,"imslp_bootleg_dir-v1.1/Agnew,_Roy/Holiday_Suite_"
"Agnew, Roy",3 Lyrics,"../GiantMIDI/midis/Agnew, Roy, 3 Lyrics, 94GTIaSL6q8.mid",False,,,
"Agnew, Roy",A May Day,"../GiantMIDI/midis/Agnew, Roy, A May Day, WcNXEoOfE90.mid",True,"Agnew, Roy",A May Day,"imslp_bootleg_dir-v1.1/Agnew,_Roy/A_May_Day_"
"Agnew, Roy",2 Piano Pieces,"../GiantMIDI/midis/Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid",True,"Agnew, Roy",2 Piano Pieces,"imslp_bootleg_dir-v1.1/Agnew,_Roy/2_Piano_Pieces_"
"Agnew, Roy",2 Piano Solos,"../GiantMIDI/midis/Agnew, Roy, 2 Piano Solos, FxJoaQcBkvw.mid",True,"Agnew, Roy",2 Piano Solos,"imslp_bootleg_dir-v1.1/Agnew,_Roy/2_Piano_Solos_"
"Agnew, Roy",2 Pieces,"../GiantMIDI/midis/Agnew, Roy, 2 Pieces, FxJoaQcBkvw.mid",True,"Agnew, Roy",2 Pieces,"imslp_bootleg_dir-v1.1/Agnew,_Roy/2_Pieces_"
"Agnew, Roy",Poem No.1,"../GiantMIDI/midis/Agnew, Roy, Poem No.1, GHWFSi_4Ltg.mid",True,"Agnew, Roy",Poem No.1,"imslp_bootleg_dir-v1.1/Agnew,_Roy/Poem_No.1_"
"Agnew, Roy",3 Poems,"../GiantMIDI/midis/Agnew, Roy, 3 Poems, LnKv0T-PvNY.mid",True,"Agnew, Roy",3 Poems,"imslp_bootleg_dir-v1.1/Agnew,_Roy/3_Poems_"
"Agnew, Roy",Prelude No.1,"../GiantMIDI/midis/Agnew, Roy, Prelude No.1, gHtoiDC0hpk.mid",True,"Agnew, Roy",Prelude No.1,"imslp_bootleg_dir-v1.1/Agnew,_Roy/Prelude_No.1_"
"Agnew, Roy",Prelude No.4,"../GiantMIDI/midis/Agnew, Roy, Prelude No.4, 3VAUaxSpwfY.mid",True,"Agnew, Roy",Prelude No.4,"imslp_bootleg_dir-v1.1/Agnew,_Roy/Prelude_No.4_"
"Agnew, Roy",3 Preludes,"../GiantMIDI/midis/Agnew, Roy, 3 Preludes, _0FzvvfLvrA.mid",True,"Agnew, Roy",3 Preludes,"imslp_bootleg_dir-v1.1/Agnew,_Roy/3_Preludes_"
"Agnew, Roy",Rabbit Hill,"../GiantMIDI/midis/Agnew, Roy, Rabbit Hill, iVrPfk_ODOA.mid",True,"Agnew, Roy",Rabbit Hill,"imslp_bootleg_dir-v1.1/Agnew,_Roy/Rabbit_Hill_"
"Agnew, Roy",Rural Sketches,"../GiantMIDI/midis/Agnew, Roy, Rural Sketches, ZAGQD_jcGf8.mid",True,"Agnew, Roy",Rural Sketches,"imslp_bootleg_dir-v1.1/Agnew,_Roy/Rural_Sketches_"
"Agnew, Roy",Sonata Ballade,"../GiantMIDI/midis/Agnew, Roy, Sonata Ballade, MXyvx1yfDHM.mid",True,"Agnew, Roy",Sonata Ballade,"imslp_bootleg_dir-v1.1/Agnew,_Roy/Sonata_Ballade_"
"Agnew, Roy",2 Songs,"../GiantMIDI/midis/Agnew, Roy, 2 Songs, FxJoaQcBkvw.mid",False,,,
"Agnew, Roy",Trains,"../GiantMIDI/midis/Agnew, Roy, Trains, TMT6kYhk1vY.mid",True,"Agnew, Roy",Trains,"imslp_bootleg_dir-v1.1/Agnew,_Roy/Trains_"
"Agnew, Roy",Youthful Fancies,"../GiantMIDI/midis/Agnew, Roy, Youthful Fancies, YIK8RatMELo.mid",True,"Agnew, Roy",Youthful Fancies,"imslp_bootleg_dir-v1.1/Agnew,_Roy/Youthful_Fancies_"
"Aguirre, Julián",Gato,"../GiantMIDI/midis/Aguirre, Julián, Gato, w9CjQXt12YA.mid",True,"Aguirre, Julián",Gato,"imslp_bootleg_dir-v1.1/Aguirre,_Julián/Gato_"
"Aitken, George","Sérénade, Op.17","../GiantMIDI/midis/Aitken, George, Sérénade, Op.17, 1e3XI4ubM98.mid",True,"Aitken, George",Sérénade,"imslp_bootleg_dir-v1.1/Aitken,_George/Sérénade_"
"Ajith, Sriram","Winter Night, Op.1","../GiantMIDI/midis/Ajith, Sriram, Winter Night, Op.1, q5xi-3xarzY.mid",True,"Ajith, Sriram",Winter Night,"imslp_bootleg_dir-v1.1/Ajith,_Sriram/Winter_Night_"
"Akimenko, Theodore","Au coin du feu, Op.28","../GiantMIDI/midis/Akimenko, Theodore, Au coin du feu, Op.28, 12uYxcYd4qU.mid",True,"Akimenko, Theodore",Au coin du feu,"imslp_bootleg_dir-v1.1/Akimenko,_Theodore/Au_coin_du_feu_"
"Akimenko, Theodore","3 Danses idylliques, Op.35","../GiantMIDI/midis/Akimenko, Theodore, 3 Danses idylliques, Op.35, ZP-oDJ7dBsw.mid",True,"Akimenko, Theodore",3 Danses idylliques,"imslp_bootleg_dir-v1.1/Akimenko,_Theodore/3_Danses_idylliques_"
"Akimenko, Theodore","Eclogue, Op.12","../GiantMIDI/midis/Akimenko, Theodore, Eclogue, Op.12, 3jOlAYM6Bvw.mid",False,,,
"Akimenko, Theodore","Jeux, Op.34","../GiantMIDI/midis/Akimenko, Theodore, Jeux, Op.34, oT9uPpgqty4.mid",True,"Akimenko, Theodore",Jeux,"imslp_bootleg_dir-v1.1/Akimenko,_Theodore/Jeux_"
"Akimenko, Theodore","3 Morceaux, Op.16","../GiantMIDI/midis/Akimenko, Theodore, 3 Morceaux, Op.16, K1FgrYM4w6s.mid",True,"Akimenko, Theodore",3 Morceaux,"imslp_bootleg_dir-v1.1/Akimenko,_Theodore/3_Morceaux_"
"Akimenko, Theodore","5 Morceaux, Op.21","../GiantMIDI/midis/Akimenko, Theodore, 5 Morceaux, Op.21, L7flLaW0CNo.mid",True,"Akimenko, Theodore",5 Morceaux,"imslp_bootleg_dir-v1.1/Akimenko,_Theodore/5_Morceaux_"
"Akimenko, Theodore","3 Morceaux, Op.27","../GiantMIDI/midis/Akimenko, Theodore, 3 Morceaux, Op.27, K1FgrYM4w6s.mid",True,"Akimenko, Theodore",3 Morceaux,"imslp_bootleg_dir-v1.1/Akimenko,_Theodore/3_Morceaux_"
"Akimenko, Theodore","3 Pieces, Op.60bis","../GiantMIDI/midis/Akimenko, Theodore, 3 Pieces, Op.60bis, bT3HqwIRZB4.mid",True,"Akimenko, Theodore",3 Pieces,"imslp_bootleg_dir-v1.1/Akimenko,_Theodore/3_Pieces_"
"Akimenko, Theodore","5 Preludes, Op.23","../GiantMIDI/midis/Akimenko, Theodore, 5 Preludes, Op.23, 5i4TmV9nEr4.mid",True,"Akimenko, Theodore",5 Preludes,"imslp_bootleg_dir-v1.1/Akimenko,_Theodore/5_Preludes_"
"Akimenko, Theodore","Sonate fantastique, Op.44","../GiantMIDI/midis/Akimenko, Theodore, Sonate fantastique, Op.44, 0R39bx38mqE.mid",True,"Akimenko, Theodore",Sonate fantastique,"imslp_bootleg_dir-v1.1/Akimenko,_Theodore/Sonate_fantastique_"
"Akimenko, Theodore","Uranie, Op.25","../GiantMIDI/midis/Akimenko, Theodore, Uranie, Op.25, KtSZnIl9Ps0.mid",True,"Akimenko, Theodore",Uranie,"imslp_bootleg_dir-v1.1/Akimenko,_Theodore/Uranie_"
"Aksakov, Sergey",4 Pieces,"../GiantMIDI/midis/Aksakov, Sergey, 4 Pieces, CJE1uTVreYU.mid",True,"Aksakov, Sergey",4 Pieces,"imslp_bootleg_dir-v1.1/Aksakov,_Sergey/4_Pieces_"
"Aksyonov, Semyon",Etude in G major,"../GiantMIDI/midis/Aksyonov, Semyon, Etude in G major, atoyZOOjndw.mid",False,,,
"Alain, Albert",Espagnolerie,"../GiantMIDI/midis/Alain, Albert, Espagnolerie, ts4pTlWdmMg.mid",True,"Alain, Albert",Espagnolerie,"imslp_bootleg_dir-v1.1/Alain,_Albert/Espagnolerie_"
"Alain, Albert",Nocturne,"../GiantMIDI/midis/Alain, Albert, Nocturne, XzXP2pzwHS4.mid",True,"Alain, Albert",Nocturne,"imslp_bootleg_dir-v1.1/Alain,_Albert/Nocturne_"
"Alais, Juan",Arturo,"../GiantMIDI/midis/Alais, Juan, Arturo, 6Tsc4AcsBNA.mid",False,,,
"Alais, Juan","6 Estilos Criollos, Op.8","../GiantMIDI/midis/Alais, Juan, 6 Estilos Criollos, Op.8, 5wCO0Fw3UBo.mid",False,,,
"Alard, Charles",2 Morceaux,"../GiantMIDI/midis/Alard, Charles, 2 Morceaux, mNI8iLWGyFU.mid",False,,,
"Alary, Joseph",Brise printanière,"../GiantMIDI/midis/Alary, Joseph, Brise printanière, E-xiH41-IZA.mid",True,"Alary, Joseph",Brise printanière,"imslp_bootleg_dir-v1.1/Alary,_Joseph/Brise_printanière_"
"Alary, Joseph","Sérénade de Pierrot à Colombine, Op.21","../GiantMIDI/midis/Alary, Joseph, Sérénade de Pierrot à Colombine, Op.21, HToOwt6_WKI.mid",True,"Alary, Joseph",Sérénade de Pierrot à Colombine,"imslp_bootleg_dir-v1.1/Alary,_Joseph/Sérénade_de_Pierrot_à_Colombine_"
"Alba, Antonio","Amor Naciente, Op.21","../GiantMIDI/midis/Alba, Antonio, Amor Naciente, Op.21, Wy1Jnof4Rno.mid",False,,,
"Alba, Antonio","Brisas Porteñas, Op.11","../GiantMIDI/midis/Alba, Antonio, Brisas Porteñas, Op.11, IUZ5tVwlfcs.mid",False,,,
"Alba, Antonio","Ecos de Becos, Op.12","../GiantMIDI/midis/Alba, Antonio, Ecos de Becos, Op.12, ktBoY5TpPvA.mid",False,,,
"Alba, Antonio",A Ella,"../GiantMIDI/midis/Alba, Antonio, A Ella, FWB_FPl8Bsg.mid",False,,,
"Alba, Antonio","El Ensueño, Op.16","../GiantMIDI/midis/Alba, Antonio, El Ensueño, Op.16, Mlv9ML6tAiw.mid",False,,,
"Alba, Antonio","Fué un sueño, Op.57","../GiantMIDI/midis/Alba, Antonio, Fué un sueño, Op.57, RGkpPWfcZm8.mid",False,,,
"Alba, Antonio","Me Amas?, Op.111","../GiantMIDI/midis/Alba, Antonio, Me Amas?, Op.111, EVwvQ3Tbx04.mid",False,,,
"Alba, Antonio","Penas, Op.81","../GiantMIDI/midis/Alba, Antonio, Penas, Op.81, RRBdIBZEzA4.mid",False,,,
"Alba, Antonio","Pensando en ti, Op.9","../GiantMIDI/midis/Alba, Antonio, Pensando en ti, Op.9, MaCQttuzirY.mid",False,,,
